X,Y
30.65,34.28
30.65,34.28
-176.12,18.75
-176.12,18.75
-176.12,18.75
-176.12,18.75
41.32,-25.64
41.32,-25.64
41.32,-25.64
-25.74,-29.41
-25.82,-29.39
-25.82,-29.39
-25.82,-29.39
-41.00,-21.90
-41.00,-21.90
-41.00,-21.90
-41.00,-21.90
-23.91,-39.20
-23.91,-39.20
-23.91,-39.20
-23.91,-39.20
-122.86,-26.18
-122.86,-26.18
-122.86,-26.18
-122.86,-26.18
-158.20,-17.07
-158.20,-17.07
-158.20,-17.07
26.81,47.29
26.81,47.29
26.81,47.29
26.81,47.29
160.94,31.72
160.94,31.72
160.94,31.72
160.94,31.72
45.49,10.64
45.49,10.64
45.49,10.64
45.49,10.64
25.04,7.77
25.04,7.77
25.04,7.77
25.04,7.77
-36.78,-26.89
-36.78,-26.89
-36.78,-26.89
-36.78,-26.89
12.27,-13.04
12.27,-13.04
12.27,-13.04
-9.56,3.21
-9.56,3.21
-9.56,3.21
-9.56,3.21
-135.29,13.06
-135.29,13.06
-135.29,13.06
-135.29,13.06
137.22,-7.36
137.22,-7.36
137.22,-7.36
137.22,-7.36
37.25,30.51
37.25,30.51
37.25,30.51
37.25,30.51
140.18,22.63
140.18,22.63
140.18,22.63
45.41,25.33
43.77,29.85
43.77,29.85
43.77,29.85
-11.55,41.12
-11.30,41.16
-11.30,41.16
-11.30,41.16
-18.77,-29.53
-18.77,-29.53
-18.77,-29.53
-18.77,-29.53
-5.77,-5.91
-5.77,-5.91
-5.77,-5.91
-5.77,-5.91
23.03,0.00
23.03,0.00
23.03,0.00
23.03,0.00
-139.58,21.25
-139.58,21.25
-139.58,21.25
-139.58,21.25
155.06,30.59
155.06,30.59
155.06,30.59
155.06,30.59
40.53,5.21
40.53,5.21
40.53,5.21
121.71,6.83
154.42,15.78
154.42,15.78
154.42,15.78
39.94,9.79
39.94,9.79
39.94,9.79
39.94,9.79
11.30,-2.09
11.30,-2.09
11.30,-2.09
11.30,-2.09
-29.68,-37.91
-29.68,-37.91
-29.68,-37.91
-29.68,-37.91
4.63,-10.19
4.63,-10.19
4.63,-10.19
4.63,-10.19
-57.19,6.54
-57.19,6.54
-57.19,6.54
-57.19,6.54
-135.70,8.98
-135.70,8.98
-135.70,8.98
-135.70,8.98
119.34,-17.67
119.34,-17.67
119.34,-17.67
8.53,35.93
8.53,35.93
8.53,35.93
8.53,35.93
-177.73,28.03
-177.73,28.03
-177.73,28.03
-177.73,28.03
32.97,-15.94
32.97,-15.94
32.97,-15.94
32.97,-15.94
-1.34,6.93
-1.34,6.93
-1.34,6.93
-1.34,6.93
-36.79,-29.31
-36.79,-29.31
-36.79,-29.31
-36.79,-29.31
-7.02,-22.30
-7.02,-22.30
-7.02,-22.30
-10.02,-32.67
-48.52,-8.36
-48.52,-8.36
-48.52,-8.36
-135.08,-3.10
-135.08,-3.10
-135.08,-3.10
-135.08,-3.10
57.37,19.69
57.37,19.69
57.37,19.69
57.37,19.69
170.23,27.40
170.23,27.40
170.23,27.40
170.23,27.40
164.22,30.34
164.22,30.34
164.22,30.34
14.84,28.43
36.89,-4.92
36.89,-4.92
36.89,-4.92
33.88,-22.29
-33.26,-22.46
-33.26,-22.46
-33.26,-22.46
-31.52,-26.48
-31.52,-26.48
-31.52,-26.48
-31.52,-26.48
-17.57,-30.25
-17.57,-30.25
-17.57,-30.25
-17.57,-30.25
-135.24,-20.12
-135.24,-20.12
-135.24,-20.12
-135.24,-20.12
-157.26,20.47
-157.26,20.47
-157.26,20.47
48.52,35.62
48.52,35.62
48.52,35.62
48.52,35.62
145.90,33.89
145.90,33.89
145.90,33.89
145.90,33.89
40.38,20.25
40.38,20.25
40.38,20.25
40.38,20.25
24.25,-4.86
24.25,-4.86
24.25,-4.86
24.25,-4.86
-43.16,-11.43
-43.16,-11.43
-43.16,-11.43
-44.24,-4.67
-30.78,-5.60
-30.78,-5.60
-30.78,-5.60
-4.74,-14.14
-4.74,-14.14
-4.74,-14.14
-4.74,-14.14
-142.90,8.14
-142.90,8.14
-142.90,8.14
-142.90,8.14
150.80,28.52
150.80,28.52
150.80,28.52
150.80,28.52
9.16,45.39
9.16,45.39
9.16,45.39
9.16,45.39
118.76,24.38
118.76,24.38
118.76,24.38
32.87,14.81
38.37,29.13
38.37,29.13
38.37,29.13
-23.90,0.82
-23.90,0.82
-23.90,0.82
-23.90,0.82
-23.74,-22.11
-23.74,-22.11
-23.74,-22.11
-23.74,-22.11
38.05,5.66
38.05,5.66
38.05,5.66
38.05,5.66
-68.10,-15.96
-68.10,-15.96
-68.10,-15.96
-68.10,-15.96
-147.30,23.33
-147.30,23.33
-147.30,23.33
-36.46,25.83
46.48,19.60
46.48,19.60
46.48,19.60
115.17,24.31
115.17,24.31
115.17,24.31
115.17,24.31
140.98,50.92
140.98,50.92
140.98,50.92
140.98,50.92
15.52,38.64
15.52,38.64
15.52,38.64
15.52,38.64
-30.81,-32.53
-30.81,-32.53
-30.81,-32.53
-29.60,-31.24
-7.80,-3.78
-7.80,-3.78
-7.80,-3.78
-6.46,-34.21
